x,y
1926,-1028.693274
1926,-1027.693274
1927,-1026.693274
1928,-1025.693274
1929,-1024.693274
1930,-1023.693274
1930,-1022.693274
1930,-1021.693274
1929,-1020.693274
1931,-1021.693274
1928,-1019.693274
1932,-1021.693274
1927,-1018.693274
1933,-1021.693274
1926,-1017.693274
1934,-1021.693274
1925,-1016.693274
1924,-1015.693274
1923,-1014.693274
1935,-1020.693274
1936,-1020.693274
1923,-1013.693274
1937,-1020.693274
1938,-1019.693274
1939,-1019.693274
1940,-1019.693274
1941,-1019.693274
1942,-1019.693274
1943,-1018.693274
1944,-1018.693274
1945,-1018.693274
1946,-1018.693274
1947,-1017.693274
1948,-1017.693274
1949,-1017.693274
1950,-1017.693274
1951,-1017.693274
1952,-1016.693274
1953,-1016.693274
1954,-1016.693274
1955,-1015.693274
1956,-1015.693274
1957,-1014.693274
1958,-1014.693274
1959,-1014.693274
1960,-1013.693274
1961,-1013.693274
1962,-1013.693274
1963,-1012.693274
1964,-1012.693274
1965,-1011.693274
1966,-1011.693274
1967,-1010.693274
1968,-1010.693274
1969,-1010.693274
1970,-1009.693274
1971,-1009.693274
1972,-1008.693274
1973,-1008.693274
1974,-1007.693274
1975,-1007.693274
1976,-1007.693274
1977,-1007.693274
1978,-1007.693274
1979,-1007.693274
1980,-1007.693274
1981,-1007.693274
1982,-1007.693274
1983,-1007.693274
1984,-1007.693274
1985,-1006.693274
1986,-1006.693274
1987,-1006.693274
1988,-1006.693274
1989,-1006.693274
1990,-1005.693274
1991,-1005.693274
1992,-1004.693274
1993,-1004.693274
1994,-1003.693274
1995,-1003.693274
1996,-1002.693274
1997,-1002.693274
1998,-1001.693274
1999,-1001.693274
2000,-1000.693274
2001,-1000.693274
2002,-999.6932742
2003,-999.6932742
2004,-998.6932742
2005,-998.6932742
2006,-998.6932742
2007,-997.6932742
2008,-997.6932742
2009,-996.6932742
2010,-995.6932742
2011,-995.6932742
2012,-994.6932742
2013,-993.6932742
2014,-993.6932742
2015,-992.6932742
2016,-992.6932742
2017,-992.6932742
2018,-991.6932742
2019,-991.6932742
2020,-991.6932742
2021,-990.6932742
2022,-990.6932742
2023,-989.6932742
2024,-989.6932742
2025,-989.6932742
2026,-988.6932742
2027,-988.6932742
2028,-988.6932742
2029,-987.6932742
2030,-987.6932742
2031,-987.6932742
2032,-986.6932742
2033,-986.6932742
2034,-986.6932742
2035,-986.6932742
2036,-985.6932742
2037,-985.6932742
2038,-985.6932742
2039,-984.6932742
2040,-984.6932742
2041,-984.6932742
2042,-984.6932742
2043,-983.6932742
2044,-983.6932742
2045,-983.6932742
2046,-982.6932742
2047,-982.6932742
2048,-982.6932742
2049,-981.6932742
2050,-981.6932742
2051,-981.6932742
2052,-980.6932742
2053,-980.6932742
2054,-980.6932742
2055,-979.6932742
2056,-979.6932742
2057,-979.6932742
2058,-978.6932742
2059,-978.6932742
2060,-978.6932742
2061,-977.6932742
2062,-977.6932742
2063,-977.6932742
2064,-977.6932742
2065,-977.6932742
2066,-976.6932742
2067,-976.6932742
2068,-976.6932742
2069,-975.6932742
2070,-975.6932742
2071,-975.6932742
2072,-974.6932742
2073,-974.6932742
2074,-973.6932742
2075,-973.6932742
2076,-972.6932742
2077,-972.6932742
2078,-971.6932742
2079,-971.6932742
2080,-970.6932742
2081,-970.6932742
2082,-970.6932742
2083,-969.6932742
2084,-969.6932742
2085,-969.6932742
2086,-968.6932742
2087,-968.6932742
2088,-967.6932742
2089,-967.6932742
2090,-967.6932742
2091,-966.6932742
2092,-966.6932742
2093,-966.6932742
2094,-965.6932742
2095,-965.6932742
2096,-965.6932742
2097,-964.6932742
2098,-964.6932742
2099,-963.6932742
2100,-963.6932742
2101,-962.6932742
2102,-962.6932742
2103,-961.6932742
2104,-961.6932742
2105,-960.6932742
2106,-960.6932742
2107,-959.6932742
2108,-959.6932742
2109,-958.6932742
2110,-958.6932742
2111,-957.6932742
2112,-957.6932742
2113,-956.6932742
2114,-956.6932742
2115,-956.6932742
2116,-955.6932742
2117,-955.6932742
2118,-954.6932742
2119,-954.6932742
2120,-954.6932742
2121,-953.6932742
2122,-953.6932742
2123,-953.6932742
2124,-953.6932742
2125,-952.6932742
2126,-952.6932742
2127,-952.6932742
2128,-951.6932742
2129,-951.6932742
2130,-950.6932742
2131,-950.6932742
2132,-950.6932742
2133,-949.6932742
2134,-949.6932742
2135,-948.6932742
2136,-948.6932742
2137,-947.6932742
2138,-947.6932742
2139,-946.6932742
2140,-946.6932742
2141,-945.6932742
2142,-945.6932742
2143,-944.6932742
2144,-944.6932742
2145,-943.6932742
2146,-943.6932742
2147,-942.6932742
2148,-942.6932742
2149,-941.6932742
2150,-941.6932742
2151,-940.6932742
2152,-940.6932742
2153,-939.6932742
2154,-939.6932742
2155,-938.6932742
2156,-938.6932742
2157,-937.6932742
2158,-936.6932742
2159,-936.6932742
2160,-935.6932742
2161,-935.6932742
2162,-934.6932742
2163,-933.6932742
2164,-933.6932742
2165,-932.6932742
2166,-931.6932742
2167,-931.6932742
2168,-930.6932742
2169,-930.6932742
2170,-929.6932742
2171,-929.6932742
2172,-929.6932742
2173,-928.6932742
2174,-928.6932742
2175,-927.6932742
2176,-927.6932742
2177,-927.6932742
2178,-926.6932742
2179,-926.6932742
2180,-925.6932742
2181,-925.6932742
2182,-924.6932742
2183,-924.6932742
2184,-923.6932742
2185,-923.6932742
2186,-922.6932742
2187,-921.6932742
2188,-921.6932742
2189,-920.6932742
2190,-920.6932742
2191,-919.6932742
2192,-919.6932742
2193,-918.6932742
2194,-918.6932742
2195,-917.6932742
2196,-917.6932742
2197,-916.6932742
2198,-916.6932742
2199,-915.6932742
2200,-915.6932742
2201,-914.6932742
2202,-914.6932742
2203,-913.6932742
2204,-913.6932742
2205,-912.6932742
2206,-912.6932742
2207,-911.6932742
2208,-910.6932742
2209,-910.6932742
2210,-909.6932742
2211,-909.6932742
2212,-908.6932742
2213,-908.6932742
2214,-907.6932742
2215,-906.6932742
2216,-905.6932742
2217,-905.6932742
2218,-904.6932742
2219,-904.6932742
2220,-903.6932742
2221,-902.6932742
2222,-902.6932742
2223,-901.6932742
2224,-900.6932742
2225,-900.6932742
2226,-899.6932742
2227,-899.6932742
2228,-898.6932742
2229,-898.6932742
2230,-897.6932742
2231,-896.6932742
2232,-896.6932742
2233,-895.6932742
2234,-894.6932742
2235,-894.6932742
2236,-893.6932742
2237,-893.6932742
2238,-892.6932742
2239,-891.6932742
2240,-891.6932742
2241,-890.6932742
2242,-890.6932742
2243,-889.6932742
2244,-888.6932742
2245,-887.6932742
2246,-887.6932742
2247,-886.6932742
2248,-886.6932742
2249,-885.6932742
2250,-885.6932742
2251,-884.6932742
2252,-884.6932742
2253,-883.6932742
2254,-883.6932742
2255,-882.6932742
2256,-882.6932742
2257,-881.6932742
2258,-881.6932742
2259,-880.6932742
2260,-880.6932742
2261,-880.6932742
2262,-879.6932742
2263,-878.6932742
2264,-878.6932742
2265,-877.6932742
2266,-877.6932742
2267,-876.6932742
2268,-876.6932742
2269,-875.6932742
2270,-874.6932742
2271,-874.6932742
2272,-873.6932742
2273,-873.6932742
2274,-872.6932742
2275,-871.6932742
2276,-871.6932742
2277,-870.6932742
2278,-869.6932742
2279,-868.6932742
2280,-868.6932742
2281,-867.6932742
2282,-866.6932742
2283,-865.6932742
2284,-864.6932742
2285,-863.6932742
2286,-862.6932742
2287,-861.6932742
2288,-860.6932742
2289,-859.6932742
2290,-858.6932742
2291,-857.6932742
2292,-857.6932742
2293,-856.6932742
2294,-855.6932742
2295,-854.6932742
2296,-853.6932742
2297,-853.6932742
2298,-852.6932742
2299,-851.6932742
2300,-850.6932742
2300,-849.6932742
2301,-849.6932742
2299,-848.6932742
2302,-849.6932742
2303,-849.6932742
2298,-847.6932742
2298,-846.6932742
2304,-848.6932742
2298,-845.6932742
2305,-847.6932742
2297,-844.6932742
2306,-846.6932742
2307,-845.6932742
2308,-845.6932742
2309,-844.6932742
2310,-843.6932742
2311,-843.6932742
2312,-842.6932742
2313,-842.6932742
2314,-841.6932742
2315,-841.6932742
2316,-840.6932742
2317,-840.6932742
2318,-840.6932742
2319,-839.6932742
2320,-839.6932742
2321,-839.6932742
2322,-838.6932742
2323,-838.6932742
2324,-837.6932742
2325,-837.6932742
2326,-836.6932742
2327,-836.6932742
2328,-835.6932742
2329,-834.6932742
2330,-833.6932742
2331,-833.6932742
2332,-832.6932742
2333,-831.6932742
2334,-830.6932742
2335,-830.6932742
2336,-829.6932742
2337,-828.6932742
2338,-828.6932742
2339,-827.6932742
2340,-826.6932742
2341,-826.6932742
2342,-825.6932742
2343,-825.6932742
2344,-824.6932742
2345,-823.6932742
2346,-823.6932742
2347,-822.6932742
2348,-821.6932742
2349,-820.6932742
2350,-819.6932742
2351,-818.6932742
2352,-817.6932742
2353,-817.6932742
2354,-816.6932742
2355,-815.6932742
2356,-814.6932742
2357,-813.6932742
2358,-812.6932742
2359,-811.6932742
2360,-810.6932742
2361,-809.6932742
2362,-808.6932742
2363,-807.6932742
2363,-806.6932742
2364,-806.6932742
2365,-806.6932742
2363,-805.6932742
2362,-804.6932742
2366,-805.6932742
2361,-803.6932742
2360,-802.6932742
2367,-804.6932742
2359,-801.6932742
2358,-800.6932742
2368,-803.6932742
2357,-799.6932742
2369,-802.6932742
2370,-801.6932742
2371,-800.6932742
2372,-800.6932742
2373,-799.6932742
2374,-798.6932742
2375,-798.6932742
2376,-797.6932742
2377,-796.6932742
2378,-796.6932742
2379,-795.6932742
2380,-794.6932742
2381,-793.6932742
2382,-792.6932742
2383,-792.6932742
2384,-791.6932742
2385,-790.6932742
2386,-789.6932742
2387,-788.6932742
2388,-787.6932742
2389,-786.6932742
2390,-785.6932742
2391,-784.6932742
2392,-783.6932742
2393,-782.6932742
2394,-781.6932742
2394,-780.6932742
2395,-780.6932742
2396,-780.6932742
2397,-780.6932742
2394,-779.6932742
2394,-778.6932742
2398,-779.6932742
2394,-777.6932742
2399,-778.6932742
2400,-778.6932742
2394,-776.6932742
2394,-775.6932742
2401,-777.6932742
2394,-774.6932742
2402,-776.6932742
2394,-773.6932742
2403,-775.6932742
2394,-772.6932742
2394,-771.6932742
2404,-774.6932742
2394,-770.6932742
2405,-773.6932742
2393,-769.6932742
2406,-773.6932742
2407,-772.6932742
2408,-771.6932742
2409,-770.6932742
2410,-769.6932742
2411,-768.6932742
2412,-767.6932742
2413,-766.6932742
2414,-765.6932742
2415,-764.6932742
2416,-763.6932742
2417,-762.6932742
2418,-761.6932742
2419,-760.6932742
2420,-759.6932742
2420,-758.6932742
2421,-758.6932742
2422,-758.6932742
2419,-757.6932742
2423,-758.6932742
2419,-756.6932742
2424,-757.6932742
2419,-755.6932742
2425,-756.6932742
2419,-754.6932742
2426,-756.6932742
2419,-753.6932742
2427,-755.6932742
2419,-752.6932742
2418,-751.6932742
2428,-754.6932742
2417,-750.6932742
2429,-753.6932742
2417,-749.6932742
2417,-748.6932742
2430,-752.6932742
2417,-747.6932742
2431,-751.6932742
2432,-750.6932742
2433,-749.6932742
2434,-749.6932742
2435,-748.6932742
2436,-747.6932742
2437,-746.6932742
2438,-745.6932742
2439,-744.6932742
2440,-743.6932742
2441,-742.6932742
2442,-741.6932742
2443,-740.6932742
2444,-739.6932742
2445,-738.6932742
2446,-737.6932742
2447,-736.6932742
2448,-735.6932742
2452,-735.6932742
2449,-734.6932742
2450,-734.6932742
2451,-734.6932742
2451,-733.6932742
2451,-732.6932742
2452,-731.6932742
2453,-730.6932742
2453,-729.6932742
2454,-728.6932742
2455,-727.6932742
2456,-726.6932742
2456,-725.6932742
2457,-724.6932742
2458,-723.6932742
2459,-722.6932742
2460,-721.6932742
2461,-720.6932742
2462,-719.6932742
2463,-718.6932742
2464,-717.6932742
2465,-716.6932742
2466,-715.6932742
2467,-714.6932742
2468,-713.6932742
2469,-712.6932742
2470,-711.6932742
2471,-710.6932742
2472,-709.6932742
2473,-708.6932742
2474,-707.6932742
2475,-707.6932742
2476,-706.6932742
2477,-705.6932742
2477,-704.6932742
2478,-703.6932742
2479,-702.6932742
2480,-701.6932742
2481,-700.6932742
2482,-700.6932742
2483,-699.6932742
2483,-698.6932742
2484,-697.6932742
2485,-696.6932742
2486,-695.6932742
2487,-694.6932742
2488,-693.6932742
2489,-692.6932742
2490,-691.6932742
2491,-690.6932742
2492,-690.6932742
2493,-689.6932742
2494,-688.6932742
2503,-690.6932742
2502,-689.6932742
2495,-687.6932742
2501,-688.6932742
2496,-686.6932742
2500,-687.6932742
2497,-686.6932742
2498,-686.6932742
2499,-686.6932742
2498,-685.6932742
2498,-684.6932742
2498,-683.6932742
2499,-682.6932742
2500,-681.6932742
2500,-680.6932742
2501,-680.6932742
2499,-679.6932742
2498,-678.6932742
2502,-679.6932742
2497,-677.6932742
2503,-678.6932742
2496,-676.6932742
2495,-675.6932742
2504,-677.6932742
2494,-674.6932742
2493,-673.6932742
2505,-676.6932742
2506,-675.6932742
2507,-674.6932742
2507,-673.6932742
2508,-672.6932742
2509,-671.6932742
2510,-670.6932742
2511,-669.6932742
2512,-668.6932742
2512,-667.6932742
2513,-666.6932742
2514,-665.6932742
2515,-664.6932742
2516,-663.6932742
2517,-662.6932742
2518,-661.6932742
2518,-660.6932742
2519,-659.6932742
2520,-658.6932742
2521,-657.6932742
2522,-656.6932742
2523,-655.6932742
2524,-654.6932742
2525,-653.6932742
2525,-652.6932742
2526,-651.6932742
2527,-650.6932742
2528,-649.6932742
2528,-648.6932742
2529,-647.6932742
2530,-646.6932742
2530,-645.6932742
2531,-644.6932742
2532,-643.6932742
2533,-642.6932742
2534,-641.6932742
2535,-640.6932742
2536,-639.6932742
2537,-638.6932742
2538,-637.6932742
2539,-636.6932742
2540,-635.6932742
2541,-634.6932742
2542,-633.6932742
2542,-632.6932742
2543,-631.6932742
2544,-630.6932742
2545,-629.6932742
2546,-628.6932742
2547,-627.6932742
2548,-626.6932742
2549,-625.6932742
2555,-626.6932742
2554,-625.6932742
2550,-624.6932742
2553,-624.6932742
2551,-623.6932742
2552,-623.6932742
2552,-622.6932742
2552,-621.6932742
2553,-620.6932742
2554,-619.6932742
2554,-618.6932742
2555,-617.6932742
2556,-616.6932742
2556,-615.6932742
2557,-614.6932742
2558,-613.6932742
2558,-612.6932742
2559,-611.6932742
2560,-610.6932742
2560,-609.6932742
2561,-608.6932742
2562,-607.6932742
2563,-606.6932742
2564,-605.6932742
2564,-604.6932742
2565,-603.6932742
2566,-602.6932742
2567,-601.6932742
2568,-600.6932742
2569,-599.6932742
2570,-598.6932742
2571,-597.6932742
2571,-596.6932742
2572,-595.6932742
2573,-595.6932742
2574,-594.6932742
2575,-593.6932742
2576,-592.6932742
2577,-591.6932742
2578,-590.6932742
2578,-589.6932742
2579,-588.6932742
2580,-587.6932742
2581,-586.6932742
2582,-585.6932742
2583,-584.6932742
2583,-583.6932742
2584,-582.6932742
2585,-581.6932742
2586,-580.6932742
2586,-579.6932742
2587,-578.6932742
2588,-577.6932742
2589,-576.6932742
2589,-575.6932742
2590,-574.6932742
2591,-573.6932742
