x,y
2989.734,1238.199
3014.447,1270.356
3041.172,1323.425
3095.644,1337.584
3093.753,1381.777
3137.178,1404.136
3159.731,1440.887
3183.679,1479.085
3236.792,1521.512
3238.537,1550.709
3255.121,1611.287
3285.913,1646.578
3307.923,1684.148
3344.565,1720.445
3388.828,1744.560
3370.500,1802.174
3424.642,1821.019
3423.636,1895.898
3431.770,1921.010
3481.441,1959.395
3481.292,1998.895
3487.749,2054.412
3513.935,2092.067
3556.776,2118.416
3580.592,2169.112
3565.732,2232.016
3571.779,2280.461
3586.034,2314.069
3614.305,2365.072
3631.545,2383.542
3614.998,2456.154
3647.417,2498.352
3669.883,2520.428
3664.966,2575.435
3664.150,2623.591
3663.818,2673.054
3693.473,2709.376
3684.462,2760.914
3710.509,2798.531
3674.703,2848.758
3674.816,2900.083
3721.649,2943.820
3677.475,2992.085
3699.917,3049.496
3682.969,3094.972
3718.445,3139.522
3700.213,3178.927
3682.123,3228.911
3675.574,3258.724
3699.900,3315.364
3694.217,3356.793
3681.979,3421.213
3676.442,3459.234
3658.252,3510.054
3629.406,3548.051
3623.668,3595.715
3636.591,3628.154
3594.604,3665.667
3599.634,3720.307
3571.689,3771.476
3560.954,3802.411
3528.725,3847.613
3550.537,3895.782
3535.404,3958.343
3515.646,3977.922
3457.302,4017.407
3451.438,4060.834
3435.108,4114.164
3421.349,4160.124
3387.448,4177.840
3378.191,4242.683
3369.673,4272.503
3313.391,4315.071
3321.797,4354.925
3278.819,4387.235
3239.025,4424.353
3208.812,4463.839
3180.159,4492.275
3176.765,4546.048
3155.810,4594.259
3107.629,4606.170
3088.489,4639.853
3050.512,4665.427
2994.137,4706.437
2994.131,4755.566
2943.723,4788.359
2908.972,4818.722
2888.865,4862.023
2865.667,4884.562
2820.101,4913.245
2775.497,4941.651
2741.089,4965.194
2696.388,4979.274
2668.346,5006.818
2641.517,5044.847
2603.330,5064.735
2543.021,5098.960
2531.197,5142.965
2479.240,5136.838
2443.737,5189.370
